,title,link,description,bloggername,bloggerlink,postdate
16,필라델피아 <b>반도체</b> 지수 추종 SOXX 3배 레버리지 ETF SOXL... ,https://blog.naver.com/alcmskfl17/223424922711,"필라델피아 <b>반도체</b> 지수(SOX)는 미국 내 증권거래소에 상장된 <b>반도체</b> 관련 기업 30곳을 시가총액 방식으로 묶은 지수이다. 이 지수는 <b>반도체</b> 산업의 성과를 측정하는 지표로 널리 사용되며, 투자자들은... ",피끄의 실험실,blog.naver.com/alcmskfl17,20240423
17,<b>반도체</b>관련주 산업 용어 공부 : <b>반도체</b> 소부장과 CAPEX... ,https://blog.naver.com/cs1487/223560117001,"잠잠하던 <b>반도체</b>관련주가 2분기 실적이 생각 이상으로 선방하며 하반기 전망도 꽤 긍정적이었는데요, 그런 만큼 이번 하반기에도 관련 리포트를 자주 보게 될 것 같습니다. 그런 만큼 최근 <b>반도체</b>관련주... ",오쿤의 첨단산업 노트,blog.naver.com/cs1487,20240825
18,"삼성전자-ASML, 1조원 규모 <b>반도체</b> 연구시설 건립!",https://blog.naver.com/mocienews/223291140089,"한-네덜란드, <b>반도체</b> 분야 협력 강화 삼성전자와 네덜란드의 <b>반도체</b> 장비기업 ASML이 공동으로 한국에 1조원 규모의 초미세 첨단<b>반도체</b> 공정기술 개발 연구팹을 설립합니다. 양 기업은 12일 네덜란드... ",산업통상자원부 블로그,blog.naver.com/mocienews,20231213
19,[ <b>반도체</b> 전쟁의 승패는 속도와 시간! ],https://blog.naver.com/v0413ksw/223574235277,"[ <b>반도체</b> 전쟁의 승패는 속도와 시간! ] AI 기술 혁명 시대, 전 세계는 총성없는 <b>반도체</b> 전쟁에 돌입했습니다. 전쟁에서 승리할 수 있는 방법은 정부의 적극적인 지원뿐입니다. <b>반도체</b> 자체가 민생이고... ",국회의원 김성원,blog.naver.com/v0413ksw,20240906
20,"산업보고서 (LNG 발전, 스마트폰 AI <b>반도체</b>)",https://blog.naver.com/system2think/223574244127,<b>반도체</b> 공정 이야기는 봐도봐도 모르겠지만 또 읽어보니 재밌고 이해가 가서 붙여넣어 보았다. 각... 우선 감광성 층이 도포된 웨이퍼 위에 팹리스 기업으로부터 받아온 <b>반도체</b> 소자의 패턴을 포함하는... ,투자와 책 그리고 생각,blog.naver.com/system2think,20240906
21,"<b>반도체</b> 산업 - 메모리, 온 디바이스 AI 최대 수혜",https://blog.naver.com/pokara61/223300265832,<b>반도체</b> 섹터가 뜨겁게 달아오르고 있다. 어제 마이크론이 8% 상승했다. AI <b>반도체</b> 시장에 본격적으로 성장할 예정이다. 이미 이와 관련해서 HBM 칩 수요가 증가하고 있다. 메모리 업체들은 아직은... ,포카라의 실전투자,blog.naver.com/pokara61,20231222
22,"<b>반도체</b> 산업, 디스플레이 산업 등에 사용되는 이온·전자빔... ",https://blog.naver.com/tungsten2/223506828907,"#텅스텐 #텅스텐와이어가공 #필라멘트 #이온전자빔 #<b>반도체</b>공정부품 #증착부품 순수 텅스텐 가공물 자체가공 #텅스텐가공업체 코리아텅스텐 ☎ 031. 975. 1717 안녕하세요, <b>반도체</b> 공정과 디스플레이 공정... ",텅스텐연구개발,blog.naver.com/tungsten2,20240903
23,<b>반도체</b>를 넘보는 구리 가격!?,https://blog.naver.com/ppspr/223395537938,"<b>반도체</b>만큼 몸값 오른 구리?! 작년, 정보통신(IT) 수요 침체 및 <b>반도체</b> 업황 악화로 인해 <b>반도체</b>의 수출·가격이 하락한 적도 있습니다. 그러나 최근 산업통상자원부의 발표에 따르면, 2023년 2월 대비... ",조달청 블로그,blog.naver.com/ppspr,20240326
24,"<b>반도체</b> 공정에서 발생하는 온실가스, 맑은 공기로 바꾼다!",https://blog.naver.com/energium/223461282627,"<b>반도체</b>, 디스플레이 생산 공정에서 배출되는 온실가스를 깨끗한 공기로 바꾸는 기술이 개발됐습니다. 한국에너지기술연구원 수소융복합소재연구실 이신근 박사 연구진이 <b>반도체</b>, 디스플레이 생산 공정에서... ",한국에너지기술연구원,blog.naver.com/energium,20240529
25,<b>반도체</b> 증착 장치 및 부품 특허상담 tip,https://blog.naver.com/hn96312/223424499089,"IoT, CPS, 빅데이터, 인공 지능 등이 4차 산업 혁명의 핵심기술인데 이들은 모두 <b>반도체</b> 기술과 직간접적으로 연결되어 관련 <b>반도체</b> 수요를 급증시킬 전망에 있습니다. 오늘은 <b>반도체</b> 전공정 중 핵심 공정으로... ",특허법인 메이저,blog.naver.com/hn96312,20240426
